LLM_Model_Name,Hallucination_Type,n,hallucination_rate,avg_context_faithfulness,avg_answer_relevance
Claude-3.5-Sonnet,Contradiction,1281,1.0,0.20182982045277126,0.5959703356752537
Claude-3.5-Sonnet,Fabrication,2013,1.0,0.5019821162444114,0.7035166418281172
Claude-3.5-Sonnet,Unrelated,956,1.0,0.08083682008368201,0.1790062761506276
GPT-4o,Contradiction,1175,1.0,0.1978731914893617,0.6078297872340426
GPT-4o,Fabrication,1958,1.0,0.5009862104187948,0.7038743615934627
GPT-4o,Unrelated,945,1.0,0.0775026455026455,0.17553333333333332
Llama-3-70B,Contradiction,1568,1.0,0.20373278061224487,0.5949024234693878
Llama-3-70B,Fabrication,2211,1.0,0.5034337403889643,0.6982094075079149
Llama-3-70B,Unrelated,1211,1.0,0.08105037159372419,0.17350206440957885
Mistral-7B,Contradiction,1880,1.0,0.19732074468085106,0.6034606382978723
Mistral-7B,Fabrication,2397,1.0,0.4963700458906967,0.6970183562786817
Mistral-7B,Unrelated,1461,1.0,0.08022587268993839,0.17208213552361395
